PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.423 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=4.95 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=14.1 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=8.16 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=7.93 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=9.83 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=8.98 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=9.34 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=8.23 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=15.7 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=9.36 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=18.3 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=8.29 ms
